api_id,selected,evaluation,ss
L-C5.5,0,2,0.382121244
L-C5.13,0,3,0.520978583
L-C5.18,1,3,0.529346935
HC-C2.0,0,4,0.405554444
HC-C2.1,1,4,0.481093109
P-C1.0,1,2,0.525675674
P-C1.1,0,4,0.4368065
P-C1.12,0,4,0.208724588
T-C4.4,1,4,0.221662849
T-C4.8,0,3,0.114806376
T-C4.27,0,4,0.172550991
X-C4.1,0,3,0.233363529
X-C4.3,0,2,0.142411664
X-C4.5,1,3,0.540007119
IO-C2.1,1,3,0.666980783
IO-C2.4,0,2,0.521520726
L-C1.17,0,3,0.408158348
L-C1.21,0,3,0.514461772
L-C1.23,1,4,0.859500849
HC-C2.0,0,4,0.405554444
HC-C2.1,1,4,0.481093109
P-C2.3,0,3,1.134669244
P-C2.5,1,2,1.163882673
T-C1.1,0,1,0.442519685
T-C1.2,1,1,0.452685525
T-C1.3,0,1,0.425545556
X-C1.2,0,3,0.103715822
X-C1.33,1,3,0.192122966
X-C1.77,0,3,0.127796829
X-C1.88,0,3,0.102260396
IO-C5.1,0,3,0.5
IO-C5.3,1,4,0.6
L-C2.0,1,4,1.067611754
L-C2.1,0,4,1.045577586
L-C2.12,0,4,1.049495339
HC-C1.7,0,2,1.043589711
HC-C1.24,0,1,0.444716862
HC-C1.25,1,3,1.075258434
P-C2.3,0,3,1.134669244
P-C2.5,1,3,1.163882673
T-C1.1,0,2,0.442519685
T-C1.2,1,2,0.452685525
T-C1.3,0,2,0.425545556
X-C5.0,1,4,0.70160142
X-C5.1,0,4,0
IO-C2.1,1,4,0.666980783
IO-C2.4,0,3,0.521520726
L-C2.0,1,3,1.067611754
L-C2.1,0,3,1.045577586
L-C2.12,0,3,1.049495339
HC-C5.15,0,3,0.521939995
HC-C5.24,1,3,0.892212639
P-C5.1,0,3,0.605531991
P-C5.3,1,2,1.047004491
P-C5.6,0,3,0.998602211
X-C5.0,1,4,0.70160142
X-C5.1,0,3,0
IO-C5.1,0,2,0.5
IO-C5.3,1,3,0.6
L-C1.17,0,3,0.408158348
L-C1.21,0,3,0.514461772
L-C1.23,1,3,0.859500849
HC-C1.7,0,3,1.043589711
HC-C1.24,0,2,0.444716862
HC-C1.25,1,4,1.075258434
P-C1.0,1,1,0.525675674
P-C1.1,0,3,0.4368065
P-C1.12,0,3,0.208724588
X-C4.1,0,3,0.233363529
X-C4.3,0,2,0.142411664
X-C4.5,1,3,0.540007119
L-C5.5,0,2,0.382121244
L-C5.13,0,3,0.520978583
L-C5.18,1,3,0.529346935
HC-C5.15,0,3,0.521939995
HC-C5.24,1,3,0.892212639
P-C2.3,0,3,1.134669244
P-C2.5,1,3,1.163882673
T-C1.1,0,2,0.442519685
T-C1.2,1,2,0.452685525
T-C1.3,0,2,0.425545556
X-C5.0,1,3,0.70160142
X-C5.1,0,4,0
IO-C5.1,0,4,0.5
IO-C5.3,1,4,0.6
L-C1.17,0,2,0.408158348
L-C1.21,0,2,0.514461772
L-C1.23,1,3,0.859500849
HC-C5.15,0,3,0.521939995
HC-C5.24,1,3,0.892212639
P-C1.0,1,4,0.525675674
P-C1.1,0,4,0.4368065
P-C1.12,0,4,0.208724588
T-C4.4,1,4,0.221662849
T-C4.8,0,4,0.114806376
T-C4.27,0,4,0.172550991
X-C1.2,0,4,0.103715822
X-C1.33,1,3,0.192122966
X-C1.77,0,4,0.127796829
X-C1.88,0,4,0.102260396
L-C5.5,0,3,0.382121244
L-C5.13,0,3,0.520978583
L-C5.18,1,2,0.529346935
HC-C1.7,0,3,1.043589711
HC-C1.24,0,3,0.444716862
HC-C1.25,1,3,1.075258434
P-C5.1,0,3,0.605531991
P-C5.3,1,3,1.047004491
P-C5.6,0,3,0.998602211
T-C4.4,1,3,0.221662849
T-C4.8,0,3,0.114806376
T-C4.27,0,3,0.172550991
X-C1.2,0,3,0.103715822
X-C1.33,1,3,0.192122966
X-C1.77,0,3,0.127796829
X-C1.88,0,3,0.102260396
IO-C2.1,1,1,0.666980783
IO-C2.4,0,3,0.521520726
L-C2.0,1,1,1.067611754
L-C2.1,0,1,1.045577586
L-C2.12,0,1,1.049495339
HC-C2.0,0,3,0.405554444
HC-C2.1,1,3,0.481093109
P-C5.1,0,2,0.605531991
P-C5.3,1,2,1.047004491
P-C5.6,0,3,0.998602211
X-C4.1,0,2,0.233363529
X-C4.3,0,1,0.142411664
X-C4.5,1,1,0.540007119
